type,year,state_name,state_code,organ,counts
Transplant Recipients,2018,Arkansas,AR,Lung,0
Transplant Recipients,2018,Arkansas,AR,Pancreas,0
Transplant Recipients,2018,California,CA,All,3986
Transplant Recipients,2018,California,CA,Heart,378
Transplant Recipients,2018,California,CA,Kidney,2522
Transplant Recipients,2018,California,CA,Kidney-Pancreas,71
Transplant Recipients,2018,California,CA,Liver,928
Transplant Recipients,2018,California,CA,Lung,228
Transplant Recipients,2018,California,CA,Pancreas,0
Transplant Recipients,2018,Colorado,CO,All,563
Transplant Recipients,2018,Colorado,CO,Heart,58
Transplant Recipients,2018,Colorado,CO,Kidney,343
Transplant Recipients,2018,Colorado,CO,Kidney-Pancreas,0
Transplant Recipients,2018,Colorado,CO,Liver,113
Transplant Recipients,2018,Colorado,CO,Lung,46
Transplant Recipients,2018,Colorado,CO,Pancreas,0
Transplant Recipients,2018,Connecticut,CT,All,423
Transplant Recipients,2018,Connecticut,CT,Heart,64
Transplant Recipients,2018,Connecticut,CT,Kidney,280
Transplant Recipients,2018,Connecticut,CT,Kidney-Pancreas,0
Transplant Recipients,2018,Connecticut,CT,Liver,72
Transplant Recipients,2018,Connecticut,CT,Lung,20
Transplant Recipients,2018,Connecticut,CT,Pancreas,0
Transplant Recipients,2018,Delaware,DE,All,124
Transplant Recipients,2018,Delaware,DE,Heart,0
Transplant Recipients,2018,Delaware,DE,Kidney,66
Transplant Recipients,2018,Delaware,DE,Kidney-Pancreas,0
Transplant Recipients,2018,Delaware,DE,Liver,42
Transplant Recipients,2018,Delaware,DE,Lung,0
Transplant Recipients,2018,Delaware,DE,Pancreas,0
Transplant Recipients,2018,District of Columbia,DC,All,95
Transplant Recipients,2018,District of Columbia,DC,Heart,0
Transplant Recipients,2018,District of Columbia,DC,Kidney,59
Transplant Recipients,2018,District of Columbia,DC,Kidney-Pancreas,0
Transplant Recipients,2018,District of Columbia,DC,Liver,25
Transplant Recipients,2018,District of Columbia,DC,Lung,0
Transplant Recipients,2018,District of Columbia,DC,Pancreas,0
Transplant Recipients,2018,Florida,FL,All,2310
Transplant Recipients,2018,Florida,FL,Heart,232
Transplant Recipients,2018,Florida,FL,Kidney,1366
Transplant Recipients,2018,Florida,FL,Kidney-Pancreas,61
Transplant Recipients,2018,Florida,FL,Liver,522
Transplant Recipients,2018,Florida,FL,Lung,193
Transplant Recipients,2018,Florida,FL,Pancreas,17
Transplant Recipients,2018,Foreign Country,0,All,128
Transplant Recipients,2018,Foreign Country,0,Heart,26
Transplant Recipients,2018,Foreign Country,0,Kidney,53
Transplant Recipients,2018,Foreign Country,0,Kidney-Pancreas,0
Transplant Recipients,2018,Foreign Country,0,Liver,30
Transplant Recipients,2018,Foreign Country,0,Lung,23
Transplant Recipients,2018,Foreign Country,0,Pancreas,0
Transplant Recipients,2018,Georgia,GA,All,1014
Transplant Recipients,2018,Georgia,GA,Heart,63
Transplant Recipients,2018,Georgia,GA,Kidney,617
Transplant Recipients,2018,Georgia,GA,Kidney-Pancreas,30
Transplant Recipients,2018,Georgia,GA,Liver,302
Transplant Recipients,2018,Georgia,GA,Lung,29
Transplant Recipients,2018,Georgia,GA,Pancreas,0
Transplant Recipients,2018,Hawaii,HI,All,112
Transplant Recipients,2018,Hawaii,HI,Heart,0
Transplant Recipients,2018,Hawaii,HI,Kidney,80
Transplant Recipients,2018,Hawaii,HI,Kidney-Pancreas,0
Transplant Recipients,2018,Hawaii,HI,Liver,21
Transplant Recipients,2018,Hawaii,HI,Lung,0
Transplant Recipients,2018,Hawaii,HI,Pancreas,0
Transplant Recipients,2018,Idaho,ID,All,143
Transplant Recipients,2018,Idaho,ID,Heart,0
Transplant Recipients,2018,Idaho,ID,Kidney,88
Transplant Recipients,2018,Idaho,ID,Kidney-Pancreas,0
Transplant Recipients,2018,Idaho,ID,Liver,30
Transplant Recipients,2018,Idaho,ID,Lung,0
